NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
St. Michael,The Calgary Roman Catholic Separate School Division,Separate School,St. Michael School,4511 - 8 Avenue S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8717,N,Y,Y,N,2021/02/28,T3C0G9,1382837,-114.15157745417609,51.044784910360725,"(51.044784910360725, -114.15157745417609)"
Our Lady of Fatima,The Calgary Roman Catholic Separate School Division,Separate School,Our Lady of Fatima,6320 Taralea Park NE,Calgary,AB,Elementary,N,Provincial Data,1226,N,Y,N,N,2021/02/28,T3J5C4,1384102,-113.9379102324334,51.11632174668843,"(51.11632174668843, -113.9379102324334)"
Robert Warren,The Calgary School Division,Public School,Robert Warren School,12424 Elbow Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9655,N,Y,Y,N,2021/02/28,T2W1H2,1382585,-114.08481701493501,50.94250672212092,"(50.94250672212092, -114.08481701493501)"
Calgary Jewish Academy,The Calgary Jewish Academy,Private School,Calgary Jewish Academy,6700 Kootenay Street S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9911,N,Y,Y,N,2021/02/28,T2V1P7,1382195,-114.0926064832227,50.99349472299216,"(50.99349472299216, -114.0926064832227)"
St. Elizabeth Seton,The Calgary Roman Catholic Separate School Division,Separate School,St. Elizabeth Seton,10845 Hidden Valley Drive,Calgary,AB,Elementary/Junior High,N,Provincial Data,588,N,Y,Y,N,2021/02/28,T3A6K3,1524239,-114.11043639110667,51.151101831682396,"(51.151101831682396, -114.11043639110667)"
Branton,The Calgary School Division,Public School,Branton School,2103 - 20 Street N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9621,N,Y,Y,N,2021/02/28,T2M3W1,1381141,-114.10903047499593,51.07124691272822,"(51.07124691272822, -114.10903047499593)"
Divine Mercy,The Calgary Roman Catholic Separate School Division,Separate School,Divine Mercy School,228 Mahogany Blvd. SE,Calgary,AB,Elementary,N,Provincial Data,2189,N,Y,N,N,2021/02/28,T3M1M5,2454686,-113.9239578308931,50.9015566152245,"(50.9015566152245, -113.9239578308931)"
Simon Fraser,The Calgary School Division,Public School,Simon Fraser School,5215 - 33 Street N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9646,N,Y,Y,N,2021/02/28,T2L1V3,1383906,-114.13655045217867,51.10031940846632,"(51.10031940846632, -114.13655045217867)"
St. Luke Bilingual Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Luke Bilingual Elementary School,"1232 Northmount Dr., N.W.",Calgary,AB,Elementary,N,Provincial Data,8521,N,Y,N,N,2021/02/28,T2L0E1,1383126,-114.12268683334047,51.09082672297515,"(51.09082672297515, -114.12268683334047)"
Deer Run,The Calgary School Division,Public School,Deer Run School,2127 - 146 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9265,N,Y,N,N,2021/02/28,T2J6P8,1369586,-114.00945454338842,50.921555427743264,"(50.921555427743264, -114.00945454338842)"
St. Wilfrid Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Wilfrid Elementary School,4225 - 44 Avenue N.E.,Calgary,AB,Elementary,N,Provincial Data,8541,N,Y,N,N,2021/02/28,T1Y4Y1,1383127,-113.96899426430878,51.091926538839864,"(51.091926538839864, -113.96899426430878)"
St. Bonaventure,The Calgary Roman Catholic Separate School Division,Separate School,St. Bonaventure School,1710 Acadia Drive S.E.,Calgary,AB,Junior High,N,Provincial Data,8721,N,N,Y,N,2021/02/28,T2J3X8,1382261,-114.04718120951901,50.931737061001265,"(50.931737061001265, -114.04718120951901)"
St. Rupert,The Calgary Roman Catholic Separate School Division,Separate School,St. Rupert School,111 Rundlehill Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,8548,N,Y,N,N,2021/02/28,T1Y2W9,1383023,-113.97052825760973,51.07689761729061,"(51.07689761729061, -113.97052825760973)"
Sir John Franklin,The Calgary School Division,Public School,Sir John Franklin School,2215 - 8 Avenue N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9649,N,Y,Y,N,2021/02/28,T2E0T7,1380739,-114.00792305868566,51.05967721842337,"(51.05967721842337, -114.00792305868566)"
Calgary Academy,Calgary Academy Society,Private School,Calgary Academy,1677 93 rd Street S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9908,N,Y,Y,Y,2021/02/28,T3H0R3,1382819,-114.2242479372351,51.03943008461902,"(51.03943008461902, -114.2242479372351)"
Somerset,The Calgary School Division,Public School,Somerset School,150 Somerset Manor S.W.,Calgary,AB,Elementary,N,Provincial Data,1099,N,Y,N,N,2021/02/28,T2Y4S2,1382186,-114.08488512449149,50.89740582845411,"(50.89740582845411, -114.08488512449149)"
Canadian Montessori,The Canadian Montessori School Ltd.,Private School,Canadian Montessori School,1112 70 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,1981,N,Y,N,N,2021/02/28,T2V0P6,1186607,-114.08826216557271,50.99074473227965,"(50.99074473227965, -114.08826216557271)"
New Brighton,The Calgary School Division,Public School,New Brighton School,30 New Brighton Drive SE,Calgary,AB,Elementary,N,Provincial Data,2072,N,Y,N,N,2021/02/28,T2Z4B2,2390336,-113.95370783992476,50.91947717431829,"(50.91947717431829, -113.95370783992476)"
Marlborough,The Calgary School Division,Public School,Marlborough School,4711 Maryvale Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9322,N,Y,N,N,2021/02/28,T2A3A1,1382216,-113.96549964706662,51.05608356912292,"(51.05608356912292, -113.96549964706662)"
AADAC Youth Services,The Calgary School Division,Public School,AADAC Youth Services,1005 - 17 Street N.W.,Calgary,AB,Unknown,N,Provincial Data,9573,N,N,N,N,2021/02/28,T2N2E5,1374397,-114.10169198321243,51.061105337955944,"(51.061105337955944, -114.10169198321243)"
West Dover,The Calgary School Division,Public School,West Dover School,3113 - 30 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9357,N,Y,N,N,2021/02/28,T2B0G9,1382974,-113.99064795938101,51.02632922422375,"(51.02632922422375, -113.99064795938101)"
Eastside Christian Academy,Eastside City Church and Missionary Society,Private School,Eastside Christian Academy,1320 Abbeydale Drive SE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,478,N,Y,Y,Y,2021/02/28,T2A7L8,1382139,-113.93022001134355,51.05195232838787,"(51.05195232838787, -113.93022001134355)"
Renert,The Renert School Foundation,Private School,Renert School,14 Royal Vista Link NW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1747,N,Y,Y,Y,2021/02/28,T3R0K4,2260486,-114.20283649964796,51.15183701640225,"(51.15183701640225, -114.20283649964796)"
St. Margaret,The Calgary Roman Catholic Separate School Division,Separate School,St. Margaret School,3320 Carol Drive N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8714,N,Y,Y,N,2021/02/28,T2L0K7,1382342,-114.09763740278484,51.08213531925243,"(51.08213531925243, -114.09763740278484)"
Erin Woods,The Calgary School Division,Public School,Erin Woods School,25 Erin Park Drive SE,Calgary,AB,Elementary,N,Provincial Data,9269,N,Y,N,N,2021/02/28,T2B2Z9,1382286,-113.96577738421506,51.02269972468891,"(51.02269972468891, -113.96577738421506)"
Westgate,The Calgary School Division,Public School,Westgate School,150 Westminster Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9140,N,Y,N,N,2021/02/28,T3C2T3,1000910,-114.15919984034448,51.0444881458484,"(51.0444881458484, -114.15919984034448)"
Radisson Park,The Calgary School Division,Public School,Radisson Park School,2805 Radcliffe Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,1334,N,Y,N,N,2021/02/28,T2A0C8,1382841,-113.99223298724004,51.046161363175905,"(51.046161363175905, -113.99223298724004)"
The Hamptons,The Calgary School Division,Public School,The Hamptons School,10330 Hamptons Boulevard N.W.,Calgary,AB,Elementary,N,Provincial Data,387,N,Y,N,N,2021/02/28,T3A6G2,1383519,-114.14850698064649,51.143445733495945,"(51.143445733495945, -114.14850698064649)"
Discovering Choices 2,The Calgary School Division,Public School,Discovering Choices 2,#92 116 3800 Memorial Dr NE,Calgary,AB,Senior High,N,Provincial Data,1161,N,N,N,Y,2021/02/28,T2A5H5,1374532,-113.9784098464004,51.055338754642,"(51.055338754642, -113.9784098464004)"
Bob Edwards,The Calgary School Division,Public School,Bob Edwards School,4424 Marlborough Drive N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9623,N,Y,Y,N,2021/02/28,T2A2Z5,1381386,-113.96877372841975,51.05992939967567,"(51.05992939967567, -113.96877372841975)"
École La Mosaïque,The Southern Francophone Education Region,Francophone,École La Mosaïque,199 Martindale Blvd NE,Calgary,AB,Elementary,N,Provincial Data,1365,N,Y,N,N,2021/02/28,T3J3G4,2365672,-113.95751177577944,51.11376670342173,"(51.11376670342173, -113.95751177577944)"
Chinook Learning Services,The Calgary School Division,Public School,Chinook Learning Services,"2336 53 Ave SW, Calgary, T3E 1",Calgary,AB,Senior High,N,Provincial Data,9817,N,N,N,Y,2021/02/28,T2M0T2,1381133,-114.06542562664656,51.06858162243973,"(51.06858162243973, -114.06542562664656)"
Young Adult Program,The Calgary School Division,Public School,Young Adult Program,805 - 37 Street NW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9512,N,Y,Y,Y,2021/02/28,T2N2T9,1586600,-114.13441071716392,51.064668759076035,"(51.064668759076035, -114.13441071716392)"
MAC Islamic School - Calgary Chapter,Muslim Association of Canada,Private School,MAC Islamic School - Calgary Chapter,64 12 street NE,Calgary,AB,Elementary,N,Provincial Data,2178,N,Y,N,N,2021/02/28,T3G1B5,1378667,-114.1799393555714,51.11482355930169,"(51.11482355930169, -114.1799393555714)"
Ian Bazalgette,The Calgary School Division,Public School,Ian Bazalgette School,3909 - 26 Avenue S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9613,N,Y,Y,N,2021/02/28,T2B0C6,1382832,-113.97767814974473,51.02983255202813,"(51.02983255202813, -113.97767814974473)"
Woodbine,The Calgary School Division,Public School,Woodbine School,27 Woodfield Way S.W.,Calgary,AB,Elementary,N,Provincial Data,9266,N,Y,N,N,2021/02/28,T2W5E1,1370184,-114.1289426450024,50.93653288745854,"(50.93653288745854, -114.1289426450024)"
Mother Mary Greene,The Calgary Roman Catholic Separate School Division,Separate School,Mother Mary Greene School,115 Edenwold Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,8553,N,Y,N,N,2021/02/28,T3A3S8,1369124,-114.13924460893604,51.124306794047094,"(51.124306794047094, -114.13924460893604)"
Renfrew Educational Services-Bowness Centre,Renfrew Educational Services Society,Private School,Renfrew Educational Services-Bowness Centre,2050 - 21 Street N.E.,Calgary,AB,Unknown,N,Provincial Data,437,N,N,N,N,2021/02/28,T3B2B2,1403804,-114.21192443519641,51.096329284954884,"(51.096329284954884, -114.21192443519641)"
James Short Memorial,The Calgary School Division,Public School,James Short Memorial School,6333 - 5 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9364,N,Y,N,N,2021/02/28,T2A3V7,1382928,-113.94279830389915,51.04786053613119,"(51.04786053613119, -113.94279830389915)"
Yufeng Chinese,Yufeng Chinese School Centre,Private School,Yufeng Chinese School,169 Citadel Ridge Close NW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1048,N,Y,Y,Y,2021/02/28,T3G4V5,1094950,-114.18346923619207,51.14609434618282,"(51.14609434618282, -114.18346923619207)"
Sundance,The Calgary School Division,Public School,Sundance School,200 Sunmills Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,9267,N,Y,N,N,2021/02/28,T2X2N9,1382957,-114.04681306876033,50.90066056931126,"(50.90066056931126, -114.04681306876033)"
Louise Dean,The Calgary School Division,Public School,Louise Dean School,120 - 23 Street N.W.,Calgary,AB,Junior High/Senior High,N,Provincial Data,9626,N,N,Y,Y,2021/02/28,T2N2P1,1382214,-114.11468247256505,51.05315071429952,"(51.05315071429952, -114.11468247256505)"
Trinity Christian,The Palliser School Division,Public School,Trinity Christian School,"#100, 295 Midpark Way S.E.",Calgary,AB,Elementary/Junior High,N,Provincial Data,9973,N,Y,Y,N,2021/02/28,T2X2A8,1551635,-114.06224040398533,50.90932823045676,"(50.90932823045676, -114.06224040398533)"
Colonel Irvine,The Calgary School Division,Public School,Colonel Irvine School,412 Northmount Drive N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9622,N,Y,Y,N,2021/02/28,T2K3H6,1384087,-114.07993205475249,51.09243676151793,"(51.09243676151793, -114.07993205475249)"
West Springs,The Calgary School Division,Public School,West Springs School,8999 Wentworth Ave S.W.,Calgary,AB,Elementary,N,Provincial Data,1521,N,Y,N,N,2021/02/28,T3H0P7,1377130,-114.21674984764452,51.058437778528116,"(51.058437778528116, -114.21674984764452)"
Sunnyside,The Calgary School Division,Public School,Sunnyside School,211 - 7 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9234,N,Y,N,N,2021/02/28,T2N1S2,1381198,-114.07954405545334,51.056562375689474,"(51.056562375689474, -114.07954405545334)"
Our Lady of Lourdes,The Calgary Roman Catholic Separate School Division,Separate School,Our Lady of Lourdes,1916 2nd Street SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,598,N,Y,Y,N,2021/02/28,T2S1S3,1379069,-114.06816034687647,51.035673117987145,"(51.035673117987145, -114.06816034687647)"
Cappy Smart,The Calgary School Division,Public School,Cappy Smart School,5808 Madigan Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9353,N,Y,N,N,2021/02/28,T2A4P5,1382334,-113.94506774810269,51.06369308063351,"(51.06369308063351, -113.94506774810269)"
St. Bede Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Bede Elementary School,333 Bermuda Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,8545,N,Y,N,N,2021/02/28,T3K2J5,1370600,-114.08284602085331,51.13167374028915,"(51.13167374028915, -114.08284602085331)"
Chris Akkerman,The Calgary School Division,Public School,Chris Akkerman School,5004 Marbank Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9339,N,Y,N,N,2021/02/28,T2A3J6,1382333,-113.96301096677269,51.06375727132319,"(51.06375727132319, -113.96301096677269)"
Georges P. Vanier,The Calgary School Division,Public School,Georges P. Vanier School,509 - 32 Avenue N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9635,N,Y,Y,N,2021/02/28,T2E2H3,1382291,-114.05206912347656,51.08060531306576,"(51.08060531306576, -114.05206912347656)"
Grant MacEwan,The Calgary School Division,Public School,Grant MacEwan School,180 Falshire Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9378,N,Y,N,N,2021/02/28,T3J3A5,1383229,-113.94295031401309,51.10642762038874,"(51.10642762038874, -113.94295031401309)"
Calgary Christian,The Palliser School Division,Public School,Calgary Christian School,2839 - 49 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,9903,N,Y,N,N,2021/02/28,T3E3X9,1382507,-114.15895063553576,51.02746774548578,"(51.02746774548578, -114.15895063553576)"
Glenmore Christian Academy Elementary,GCA Educational Society,Private School,Glenmore Christian Academy Elementary,16520 - 24 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,9928,N,Y,N,N,2021/02/28,T2Y4W2,1590356,-114.1152537080784,50.903979506197274,"(50.903979506197274, -114.1152537080784)"
Citadel Park,The Calgary School Division,Public School,Citadel Park School,808 Citadel Drive NW,Calgary,AB,Elementary,N,Provincial Data,1332,N,Y,N,N,2021/02/28,T3G4B8,1383729,-114.17423451824506,51.14545105898916,"(51.14545105898916, -114.17423451824506)"
FFCA High School Campus,Foundations for the Future Charter Academy Charter School Society,Charter,FFCA High School Campus,2116 McKay Road N.W.,Calgary,AB,Junior High/Senior High,N,Provincial Data,12,N,N,Y,Y,2021/02/28,T3B1C7,1380147,-114.15192779878768,51.069581060122125,"(51.069581060122125, -114.15192779878768)"
Westbrook Outreach,The Calgary School Division,Public School,Westbrook Outreach,"#3, 1002 - 37 Street S.W",Calgary,AB,Senior High,N,Provincial Data,1260,N,N,N,Y,2021/02/28,T3C1S1,1585948,-114.14030684447422,51.04428798607457,"(51.04428798607457, -114.14030684447422)"
William Aberhart High,The Calgary School Division,Public School,William Aberhart High School,3009 Morley Trail N.W.,Calgary,AB,Senior High,N,Provincial Data,9829,N,N,N,Y,2021/02/28,T2M4G9,1382288,-114.11533747920511,51.07866950960592,"(51.07866950960592, -114.11533747920511)"
Father Scollen,The Calgary Roman Catholic Separate School Division,Separate School,Father Scollen School,6839 Temple Drive N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8730,N,Y,Y,N,2021/02/28,T1Y5N4,1384090,-113.94196158175765,51.0930202653202,"(51.0930202653202, -113.94196158175765)"
Calgary Quest,Calgary Quest Children's Society,Private School,Calgary Quest School,3405 Spruce Drive S.W. c/o Spruce Cliff Elementary,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,5398,N,Y,Y,Y,2021/02/28,T3C0A5,1382146,-114.13663866225768,51.04972149625456,"(51.04972149625456, -114.13663866225768)"
Holy Angels,The Calgary Roman Catholic Separate School Division,Separate School,Holy Angels School,275 Riverglen Drive SE,Calgary,AB,Elementary,N,Provincial Data,389,N,Y,N,N,2021/02/28,T2C3T5,1382636,-114.0100177139546,50.974095342521984,"(50.974095342521984, -114.0100177139546)"
St. Peter Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Peter Elementary School,720 - 58 Street S.E.,Calgary,AB,Elementary,N,Provincial Data,8543,N,Y,N,N,2021/02/28,T2A5L9,1382842,-113.9491070038722,51.04618504013325,"(51.04618504013325, -113.9491070038722)"
Filipino Language and Cultural School of Calgary,Philippine Cultural Center Foundation (Calgary),Private School,Filipino Language and Cultural School of Calgary,Bay 204 & 206 4656 Westwinds Dr NE,Calgary,AB,Unknown,N,Provincial Data,1440,N,N,N,N,2021/02/28,T3J3Z5,1374646,-113.96780043824887,51.100646976645564,"(51.100646976645564, -113.96780043824887)"
SAIT - Art Smith Aero Centre,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2021/02/28,T2E9B5,1374654,-114.00545627006355,51.10115940461863,"(51.10115940461863, -114.00545627006355)"
St. Helena,The Calgary Roman Catholic Separate School Division,Separate School,St. Helena School,320 - 64 Avenue N.W.,Calgary,AB,Junior High,N,Provincial Data,8711,N,N,Y,N,2021/02/28,T2K0L8,1384097,-114.06776192397147,51.111506695433164,"(51.111506695433164, -114.06776192397147)"
Huntington Hills,The Calgary School Division,Public School,Huntington Hills School,820 - 64 Avenue N.W.,Calgary,AB,Elementary,N,Provincial Data,9219,N,Y,N,N,2021/02/28,T2K0M5,1383510,-114.07745685947732,51.11220898218321,"(51.11220898218321, -114.07745685947732)"
Dr. Gordon Townsend,The Calgary School Division,Public School,Dr. Gordon Townsend School,28 Oki Drive NW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9886,N,Y,Y,Y,2021/02/28,T3B6A8,1380615,-114.14834556903074,51.07449452086541,"(51.07449452086541, -114.14834556903074)"
Holy Trinity,The Calgary Roman Catholic Separate School Division,Separate School,Holy Trinity School,1717 - 41 Street S.E.,Calgary,AB,Elementary,N,Provincial Data,8506,N,Y,N,N,2021/02/28,T2A1L2,1382817,-113.9749455922452,51.03897000809795,"(51.03897000809795, -113.9749455922452)"
Father Doucet,The Calgary Roman Catholic Separate School Division,Separate School,Father Doucet School,65 Shannon Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,8551,N,Y,N,N,2021/02/28,T2Y2T5,1382252,-114.08516887028918,50.90934423016021,"(50.90934423016021, -114.08516887028918)"
Dr. Roberta Bondar,The Calgary School Division,Public School,Dr. Roberta Bondar School,1580 Strathcona Drive,Calgary,AB,Elementary,N,Provincial Data,2054,N,Y,N,N,2021/02/28,T3H5B1,2440324,-114.20553045185602,51.05033672369609,"(51.05033672369609, -114.20553045185602)"
Mount Royal University - Lincoln Park Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2021/02/28,T3E6K6,1537443,-114.13272034345307,51.01280496081857,"(51.01280496081857, -114.13272034345307)"
Bishop McNally High,The Calgary Roman Catholic Separate School Division,Separate School,Bishop McNally High School,5700 Falconridge Boulevard N.E,Calgary,AB,Senior High,N,Provincial Data,8907,N,N,N,Y,2021/02/28,T3J3N4,1383227,-113.95370587813335,51.10303042065591,"(51.10303042065591, -113.95370587813335)"
Banff Trail,The Calgary School Division,Public School,Banff Trail School,3232 Cochrane Road N.W.,Calgary,AB,Elementary,N,Provincial Data,9202,N,Y,N,N,2021/02/28,T2M4J3,1383034,-114.11675875440444,51.08163947732653,"(51.08163947732653, -114.11675875440444)"
Joane Cardinal-Schubert High,The Calgary School Division,Public School,Joane Cardinal-Schubert High School,19480-45 Street SE,Calgary,AB,Senior High,N,Provincial Data,2180,N,N,N,Y,2021/02/28,T3M2P9,2529035,-113.94401042589116,50.87802220548302,"(50.87802220548302, -113.94401042589116)"
Jack James High,The Calgary School Division,Public School,Jack James High School,5105 - 8 Avenue S.E.,Calgary,AB,Senior High,N,Provincial Data,9856,N,N,N,Y,2021/02/28,T2A4M1,1382835,-113.9603709219802,51.04456881302903,"(51.04456881302903, -113.9603709219802)"
Highwood,The Calgary School Division,Public School,Highwood School,11 Holmwood Avenue N.W.,Calgary,AB,Elementary,N,Provincial Data,9217,N,Y,N,N,2021/02/28,T2K2G5,1383129,-114.07653283629118,51.09224356654587,"(51.09224356654587, -114.07653283629118)"
National Sport,The Calgary School Division,Public School,National Sport School,Suite 110 151 Canada Olympic Road SW,Calgary,AB,Junior High/Senior High,N,Provincial Data,9830,N,N,Y,Y,2021/02/28,T3B6B7,1557802,-114.22102650153242,51.08479481248623,"(51.08479481248623, -114.22102650153242)"
Juno Beach Academy of Canadian Studies,The Calgary School Division,Public School,Juno Beach Academy of Canadian Studies,315 - 86 Avenue SE,Calgary,AB,Unknown,N,Provincial Data,1125,N,N,N,N,2021/02/28,T2H1Z2,1382500,-114.06506248328446,50.97532111856723,"(50.97532111856723, -114.06506248328446)"
Auburn Bay,The Calgary School Division,Public School,Auburn Bay School,7 Auburn Bay Avenue SE,Calgary,AB,Elementary,N,Provincial Data,2085,N,Y,N,N,2021/02/28,T3M0K6,2365185,-113.96232802358581,50.89675500363867,"(50.89675500363867, -113.96232802358581)"
Ethel M. Johnson,The Calgary School Division,Public School,Ethel M. Johnson School,255 Sackville Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9310,N,Y,N,N,2021/02/28,T2W0W7,1382813,-114.08903891122489,50.955473385203646,"(50.955473385203646, -114.08903891122489)"
Northeast Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Northeast Elementary Campus,1140 Mayland Drive NE,Calgary,AB,Elementary,N,Provincial Data,1349,N,Y,N,N,2021/02/28,T2E6C8,1380950,-114.0112906602318,51.06419425657124,"(51.06419425657124, -114.0112906602318)"
Dr. J. K. Mulloy,The Calgary School Division,Public School,Dr. J. K. Mulloy School,7440 - 10 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9242,N,Y,N,N,2021/02/28,T2K1H6,1384106,-114.07996898891147,51.119225067265795,"(51.119225067265795, -114.07996898891147)"
Copperfield,The Calgary School Division,Public School,Copperfield School,54 Copperstone Road SE,Calgary,AB,Elementary,N,Provincial Data,2086,N,Y,N,N,2021/02/28,T2Z0G7,2397273,-113.92880594668131,50.91483203792721,"(50.91483203792721, -113.92880594668131)"
Guardian Angel,The Calgary Roman Catholic Separate School Division,Separate School,Guardian Angel School,20 Aspen Hills Dr. SW,Calgary,AB,Elementary,N,Provincial Data,2156,N,Y,N,N,2021/02/28,T3H0G5,2392869,-114.21646538352098,51.04062872834203,"(51.04062872834203, -114.21646538352098)"
Italian School of Calgary,Centro Linguistico E Culturale Italiano Calgary,Private School,Italian School of Calgary,416-1 Avenue N.E.,Calgary,AB,Junior High/Senior High,N,Provincial Data,9926,N,N,Y,Y,2021/02/28,T2E0B4,1397336,-114.05314715222983,51.05374630295557,"(51.05374630295557, -114.05314715222983)"
Forest Lawn High,The Calgary School Division,Public School,Forest Lawn High School,1304 - 44 Street S.E.,Calgary,AB,Senior High,N,Provincial Data,9813,N,N,N,Y,2021/02/28,T2A1M8,1382833,-113.9689496478143,51.042403074671775,"(51.042403074671775, -113.9689496478143)"
Calgary Arts Academy,Calgary Arts Academy Society,Charter,Calgary Arts Academy,640 14th Avenue S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,1126,N,Y,Y,N,2021/02/28,T2G1E8,2328062,-114.04924221170057,51.03940197866345,"(51.03940197866345, -114.04924221170057)"
Griffith Woods,The Calgary School Division,Public School,Griffith Woods School,7652 - 26 Avenue,Calgary,AB,Elementary/Junior High,N,Provincial Data,2147,N,Y,Y,N,2021/02/28,T3H3X2,2427822,-114.19474696299017,51.03097940794404,"(51.03097940794404, -114.19474696299017)"
Rosscarrock,The Calgary School Division,Public School,Rosscarrock School,1406 - 40 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,9133,N,Y,N,N,2021/02/28,T3C1W7,1382823,-114.14478223145807,51.041216383098565,"(51.041216383098565, -114.14478223145807)"
Calgary Chinese Private,The Calgary Chinese Public School Society,Private School,Calgary Chinese Private School,126 2nd Avenue S.W,Calgary,AB,Senior High,N,Provincial Data,9963,N,N,N,Y,2021/02/28,T2P0B9,1362574,-114.06428792878233,51.05161459047532,"(51.05161459047532, -114.06428792878233)"
Rundle College Elementary,Rundle College Society,Private School,Rundle College Elementary School,7615 - 17 Ave SW,Calgary,AB,Elementary,N,Provincial Data,9979,N,Y,N,N,2021/02/28,T3H3W5,2362137,-114.19731968898843,51.03671308605097,"(51.03671308605097, -114.19731968898843)"
Clarence Sansom,The Calgary School Division,Public School,Clarence Sansom School,5840 - 24 Avenue N.E.,Calgary,AB,Junior High,N,Provincial Data,9682,N,N,Y,N,2021/02/28,T1Y6G4,1383016,-113.94919550351989,51.07461347536657,"(51.07461347536657, -113.94919550351989)"
River Valley School ECS,River Valley School Society,Private School,River Valley School ECS,3127 Bowwood Drive N.W.,Calgary,AB,Unknown,N,Provincial Data,1906,N,N,N,N,2021/02/28,T3B2E7,1376234,-114.1743440902455,51.079469412856646,"(51.079469412856646, -114.1743440902455)"
Renfrew Educational Services - Park Place Centre,Renfrew Educational Services Society,Private School,Renfrew Educational Services - Park Place Centre,2050 - 21 Street N.E.,Calgary,AB,Unknown,N,Provincial Data,281,N,N,N,N,2021/02/28,T2E6S5,1381134,-114.00829174988903,51.069616982582104,"(51.069616982582104, -114.00829174988903)"
Robert Thirsk,The Calgary School Division,Public School,Robert Thirsk School,8777 Nose Hill Drive N.W.,Calgary,AB,Senior High,N,Provincial Data,1679,N,N,N,Y,2021/02/28,T3G5T3,1545308,-114.19477825950254,51.1308413397963,"(51.1308413397963, -114.19477825950254)"
Ecole de La Source,The Southern Francophone Education Region,Francophone,Ecole de La Source,360 - 94 Avenue S.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1014,N,Y,Y,Y,2021/02/28,T2J0E8,1382595,-114.06183138040169,50.969178756738906,"(50.969178756738906, -114.06183138040169)"
St. Dominic,The Calgary Roman Catholic Separate School Division,Separate School,St. Dominic School,4820 Dalhart Road N.W.,Calgary,AB,Elementary,N,Provincial Data,8531,N,Y,N,N,2021/02/28,T3A1C2,1383508,-114.1542440563493,51.109558751484805,"(51.109558751484805, -114.1542440563493)"
