NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
St. John Paul II,The Calgary Roman Catholic Separate School Division,Separate School,St. John Paul II School,119 Castleridge Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,8549,N,Y,N,N,2021/02/28,T3J1P6,1383230,-113.95619939061416,51.107710228998044,"(51.107710228998044, -113.95619939061416)"
Buffalo Rubbing Stone,The Calgary School Division,Public School,Buffalo Rubbing Stone School,1308 Panatella Blvd NW,Calgary,AB,Elementary,N,Provincial Data,2029,N,Y,N,N,2021/02/28,T3K0X2,2366305,-114.08736850697132,51.16835239984041,"(51.16835239984041, -114.08736850697132)"
Children's Village,The Calgary School Division,Public School,Children's Village School,1210 Russet Road NE,Calgary,AB,Elementary,N,Provincial Data,9014,N,Y,N,N,2021/02/28,T2E5L5,1381396,-114.04196438357498,51.06386878676648,"(51.06386878676648, -114.04196438357498)"
Menno Simons Christian,The Palliser School Division,Public School,Menno Simons Christian School,7000 Elkton Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9936,N,Y,Y,N,2021/02/28,T3H4Y7,1382206,-114.1885009776293,51.02420031640936,"(51.02420031640936, -114.1885009776293)"
St. Matthew,The Calgary Roman Catholic Separate School Division,Separate School,St. Matthew School,416 - 83 Avenue S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8716,N,Y,Y,N,2021/02/28,T2H1N3,1382898,-114.05851011862411,50.97868236718686,"(50.97868236718686, -114.05851011862411)"
Chinook Park,The Calgary School Division,Public School,Chinook Park School,1312 - 75 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9306,N,Y,N,N,2021/02/28,T2V0S6,1382904,-114.08937033343436,50.986447768904256,"(50.986447768904256, -114.08937033343436)"
Ramsay,The Calgary School Division,Public School,Ramsay School,2223 Spiller Road S.E.,Calgary,AB,Elementary,N,Provincial Data,9130,N,Y,N,N,2021/02/28,T2G4G9,1377882,-114.04578944271555,51.03318858802252,"(51.03318858802252, -114.04578944271555)"
The Chinese Academy,The Chinese Academy Foundation,Private School,The Chinese Academy,"#191, 1518 Centre Street N.E.",Calgary,AB,Senior High,N,Provincial Data,13,N,N,N,Y,2021/02/28,T2K1C2,1383511,-114.07013116580133,51.112797441016106,"(51.112797441016106, -114.07013116580133)"
Lake Bonavista,The Calgary School Division,Public School,Lake Bonavista School,1015 - 120 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9334,N,Y,N,N,2021/02/28,T2J2L1,1382266,-114.04092382155108,50.94454097842627,"(50.94454097842627, -114.04092382155108)"
Mayland Heights,The Calgary School Division,Public School,Mayland Heights School,2324 Maunsell Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9223,N,Y,N,N,2021/02/28,T2E6A2,1381144,-114.00729277018596,51.05895181318119,"(51.05895181318119, -114.00729277018596)"
Cecil Swanson,The Calgary School Division,Public School,Cecil Swanson School,4820 Rundlewood Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,9373,N,Y,N,N,2021/02/28,T1Y5V9,1523791,-113.96754312931172,51.0741821887835,"(51.0741821887835, -113.96754312931172)"
Earl Grey,The Calgary School Division,Public School,Earl Grey School,845 Hillcrest Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9118,N,Y,N,N,2021/02/28,T2T0Z1,1382517,-114.08265379500713,51.03087449470886,"(51.03087449470886, -114.08265379500713)"
St. Joan of Arc Elementary/Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Joan of Arc Elementary/Junior High School,7970 Wentworth Drive SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1338,N,Y,Y,N,2021/02/28,T3H0K2,1537005,-114.20724035183872,51.05712473725232,"(51.05712473725232, -114.20724035183872)"
Rosedale,The Calgary School Division,Public School,Rosedale School,905 - 13 Avenue N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9618,N,Y,Y,N,2021/02/28,T2M0G3,1382331,-114.0814990521734,51.06359709162604,"(51.06359709162604, -114.0814990521734)"
Buchanan,The Calgary School Division,Public School,Buchanan School,3717 Centre Street NW,Calgary,AB,Elementary,N,Provincial Data,9207,N,Y,N,N,2021/02/28,T2E2Y2,1382346,-114.06314780701442,51.0856296597672,"(51.0856296597672, -114.06314780701442)"
Eric Harvie,The Calgary School Division,Public School,Eric Harvie School,357 Tuscany Drive NW,Calgary,AB,Elementary,N,Provincial Data,2031,N,Y,N,N,2021/02/28,T3L3C9,2365208,-114.25111112290344,51.128041877740785,"(51.128041877740785, -114.25111112290344)"
Southeast Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Southeast Elementary Campus,9711 Academy Drive SE,Calgary,AB,Elementary,N,Provincial Data,1348,N,Y,N,N,2021/02/28,T2J1A9,1371038,-114.04540628449004,50.96724192597066,"(50.96724192597066, -114.04540628449004)"
Queen Elizabeth,The Calgary School Division,Public School,Queen Elizabeth School,402 - 18 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9227,N,Y,N,N,2021/02/28,T2N2G5,1382925,-114.10196112147355,51.055458406375095,"(51.055458406375095, -114.10196112147355)"
Webber Academy,Webber Academy Foundation,Private School,Webber Academy,1515 - 93 Street SW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,21,N,Y,Y,Y,2021/02/28,T3H4A8,1588053,-114.22502207141224,51.04412145405013,"(51.04412145405013, -114.22502207141224)"
Ernest Manning High,The Calgary School Division,Public School,Ernest Manning High School,20 Springborough Blvd. SW,Calgary,AB,Senior High,N,Provincial Data,9826,N,N,N,Y,2021/02/28,T3H0N7,1539496,-114.18923533988372,51.03595702416803,"(51.03595702416803, -114.18923533988372)"
Dr. George Stanley,The Calgary School Division,Public School,Dr. George Stanley School,585 Cranston Dr. SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,2084,N,Y,Y,N,2021/02/28,T3M0J4,2417018,-113.97828885592264,50.88277715461323,"(50.88277715461323, -113.97828885592264)"
University of Calgary - Foothills Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2021/02/28,T2N4N1,1557218,-114.13424545796528,51.066007367021676,"(51.066007367021676, -114.13424545796528)"
